"","1","3","5","6","8","9","11","12","13","14","15","16","17","18","19","21","22","23","24","25","26","30","31","32","33","34","36","37","40","42","43","44","45","49","51","52","54","55","56","60","102","104","105","107","109","112","113","114","115","116","117","118","119"
"1",0,0.02496265,0.025352509,0.012956655,0.044447492,0.028395604,0.016651108,0.018817674,0.032523712,0.011732156,0.013581826,0.026033152,0.01659895,0.030505515,0.018629722,0.02570679,0.011035953,0.017087539,0.032264371,0.016524311,0.025191157,0.014805766,0.013950482,0.008866123,0.008936883,0.008247106,0.012876364,0.008592033,0.010396451,0.025449536,0.009302131,0.017270439,0.009604773,0.012298104,0.006291764,0.003229203,0.014387316,0.022003376,0.009880292,0.019441606,0.008552317,0.015727045,0.00908021,0.009202456,0.008500248,0.011835821,0.007147429,0.010163506,0.012652172,0.010776829,0.006782231,0.018623277,0.006158295
"3",0.02496265,0,0.01644145,0.005333421,0.013180858,0.008055407,0.011572558,0.009517663,0.009090279,0.012177101,0.013221529,0.01593125,0.011691743,0.013537214,0.008224482,0.009928765,0.005571338,0.00449908,0.00770584,0.007593889,0.022106806,0.009224543,0.006840115,0.004395372,0.00532931,0.004660984,0.006349793,0.00355038,0.006123576,0.007658718,0.006950513,0.009476413,0.003545105,0.006651867,0.003639182,0.000735476,0.004960258,0.031305172,0.005196178,0.264030788,0.005941983,0.015585528,0.008211145,0.005693177,0.006989636,0.008277583,0.005570022,0.005772129,0.01366504,0.004888667,0.002954819,0.013514527,0.003096068
"5",0.025352509,0.01644145,0,0.014152383,0.01784883,0.012858087,0.007406414,0.029675182,0.02062221,0.017636655,0.017544329,0.020467165,0.013166217,0.02264835,0.029069766,0.024585062,0.00976575,0.007554641,0.022226819,0.014652268,0.027955174,0.016170017,0.016676804,0.006503317,0.013387637,0.008155896,0.012419865,0.010136763,0.009105443,0.02787912,0.021710935,0.022855017,0.010215899,0.024059818,0.007900993,0.002253467,0.012524992,0.035333184,0.013158045,0.013887421,0.016448842,0.025046159,0.008120774,0.007542834,0.009871877,0.015623398,0.009251518,0.009816176,0.015954009,0.010619942,0.006717891,0.008873289,0.006110303
"6",0.012956655,0.005333421,0.014152383,0,0.017104888,0.022499507,0.010222999,0.018785765,0.02523919,0.008277496,0.008284902,0.009804444,0.020574278,0.010078974,0.016908512,0.030559278,0.00625497,0.013233514,0.012247048,0.008162589,0.008934986,0.015934731,0.050633506,0.009140187,0.039288932,0.0085934,0.011828128,0.282669285,0.015930478,0.045103584,0.016844898,0.021351724,0.010950793,0.030337891,0.014543299,0.007470302,0.020182962,0.010625828,0.009675827,0.004418377,0.010235482,0.011363673,0.011329279,0.009966777,0.028688575,0.012861899,0.003471574,0.005513518,0.006547967,0.01026316,0.027042775,0.011915002,0.014109972
"8",0.044447492,0.013180858,0.01784883,0.017104888,0,0.019639561,0.010651337,0.01762599,0.02269625,0.011688982,0.011246118,0.020534019,0.015744141,0.018156133,0.018040174,0.02117162,0.008942467,0.01099124,0.022908643,0.012962794,0.015425665,0.010310643,0.015725714,0.071873939,0.014900536,0.007157076,0.011715812,0.012673788,0.011367415,0.025640754,0.009622487,0.012181469,0.009044046,0.010025101,0.007787587,0.002095118,0.013433277,0.018809548,0.009692687,0.010726609,0.008027666,0.013192369,0.007522013,0.008491144,0.009664451,0.008683545,0.0048325,0.008834967,0.009593615,0.010288227,0.007917217,0.012386966,0.00660219
"9",0.028395604,0.008055407,0.012858087,0.022499507,0.019639561,0,0.019941947,0.024422144,0.319900097,0.013289165,0.012194683,0.0123582,0.015037323,0.036293867,0.018279587,0.03792424,0.007338942,0.304246147,0.027815441,0.014888083,0.014430589,0.012682579,0.018691706,0.010411154,0.030851519,0.00854433,0.022745901,0.019432402,0.012782675,0.050455077,0.009996843,0.019656719,0.007390536,0.01621639,0.011055008,0.00385403,0.015942078,0.014832065,0.009887889,0.006806483,0.009251254,0.014701342,0.013622143,0.011683036,0.014078181,0.009842979,0.004870311,0.010122834,0.01143921,0.017914365,0.017916237,0.023255402,0.008047761
"11",0.016651108,0.011572558,0.007406414,0.010222999,0.010651337,0.019941947,0,0.008641596,0.019045866,0.009748923,0.007535598,0.007199209,0.016769495,0.007077345,0.007505506,0.004142437,0.002010655,0.010958405,0.006895959,0.025693959,0.011336156,0.006711846,0.00462422,0.004871191,0.006371953,0.001999389,0.006071554,0.008523355,0.004747859,0.020016824,0.002751793,0.005600779,0.001662426,0.004056112,0.004612234,0.00284971,0.00744299,0.005244594,0.003206733,0.008378214,0.004374271,0.014031533,0.018937638,0.082904083,0.008846885,0.00626793,0.004268961,0.024175586,0.007661298,0.006092633,0.005893833,0.514007356,0.00370985
"12",0.018817674,0.009517663,0.029675182,0.018785765,0.01762599,0.024422144,0.008641596,0,0.025160826,0.023413887,0.015581688,0.014382522,0.013048815,0.01654796,0.020166178,0.024884677,0.009523887,0.012841796,0.020319009,0.008831722,0.021073982,0.085256537,0.023255102,0.012613958,0.020032087,0.014903342,0.015803458,0.01421527,0.014267832,0.029585944,0.018500894,0.038139135,0.006914479,0.017719276,0.008817281,0.002429526,0.009431781,0.019863206,0.022668915,0.00887782,0.019326298,0.03139961,0.010362108,0.008908012,0.014610365,0.094235274,0.007194306,0.005399738,0.015451038,0.013304901,0.009495248,0.010409572,0.009351301
"13",0.032523712,0.009090279,0.02062221,0.02523919,0.02269625,0.319900097,0.019045866,0.025160826,0,0.012942923,0.012438807,0.012671353,0.017879846,0.030850604,0.018553474,0.034761688,0.007670445,0.215854036,0.024673798,0.016033615,0.015852143,0.012614457,0.015945714,0.008775656,0.023692311,0.008334357,0.019391882,0.018575521,0.009036965,0.051976656,0.011145217,0.021102377,0.006860764,0.013753135,0.010755295,0.003851338,0.016872942,0.016980998,0.010458779,0.007557888,0.010896171,0.014252374,0.013325386,0.013056755,0.018828645,0.011009382,0.005531102,0.010215853,0.009695776,0.014855107,0.016258163,0.021117167,0.004742581
"14",0.011732156,0.012177101,0.017636655,0.008277496,0.011688982,0.013289165,0.009748923,0.023413887,0.012942923,0,0.015228499,0.01010537,0.012619886,0.007190074,0.019762929,0.018858863,0.004915544,0.00556299,0.010227456,0.006096369,0.018091131,0.011577852,0.00655194,0.003252194,0.007608,0.005422179,0.009838282,0.007319839,0.007120525,0.013118011,0.006583072,0.015094595,0.00638892,0.010133062,0.003549495,0.001839803,0.006945148,0.017806105,0.005514418,0.011282867,0.008572327,0.403404852,0.008340781,0.004393471,0.006384043,0.009448752,0.005038953,0.005017696,0.014427853,0.00811645,0.004786681,0.010989054,0.003785021
"15",0.013581826,0.013221529,0.017544329,0.008284902,0.011246118,0.012194683,0.007535598,0.015581688,0.012438807,0.015228499,0,0.012931493,0.014247981,0.009357245,0.013452058,0.010273027,0.003847643,0.00595143,0.012936027,0.010497049,0.017581752,0.014428228,0.01017739,0.006119871,0.008128699,0.005645394,0.0113225,0.008247671,0.008984527,0.016852307,0.007290708,0.011066992,0.004527516,0.011455416,0.005012284,0.001796518,0.006466584,0.010633016,0.007239957,0.008571293,0.007709688,0.018710017,0.009629933,0.004133376,0.007296423,0.013161881,0.005138075,0.00872206,0.348965578,0.010745,0.006599591,0.010028749,0.006193198
