"","name","degree","color","axis","symbol","malefemale","agecat","com","size","radius"
"106","106",0.804560279,"orange2",1,NA,"F","calf",6,0.9654723348,0.9654723348
"109","109",0.844904133,"darkslateblue",1,NA,"F","calf",17,1.0138849596,1.9793572944
"104","104",0.909544168,"slateblue",1,NA,"F","calf",15,1.0914530016,3.070810296
"110","110",0.953106411,"yellow1",1,NA,"M","calf",8,1.1437276932,4.2145379892
"112","112",1.015266723,"yellowgreen",1,NA,"F","calf",9,1.2183200676,5.4328580568
"105","105",1.102582531,"slateblue4",1,NA,"M","calf",16,1.3230990372,6.755957094
"18","18",0.203330211,"orange2",2,NA,"F","juvenile",6,0.2439962532,0.2439962532
"56","56",0.372366338,"tan1",2,NA,"F","juvenile",5,0.4468396056,0.6908358588
"6","6",0.393565104,"indianred2",2,NA,"F","juvenile",3,0.4722781248,1.1631139836
"42","42",0.42573581,"steelblue1",2,NA,"F","juvenile",12,0.510882972,1.6739969556
"58","58",0.461906962,"firebrick4",2,NA,"M","juvenile",1,0.5542883544,2.22828531
"24","24",0.478268481,"seagreen",2,NA,"F","juvenile",11,0.5739221772,2.8022074872
"35","35",0.485499139,"red3",2,NA,"F","juvenile",2,0.5825989668,3.384806454
"101","101",0.486654288,"steelblue4",2,NA,"M","juvenile",14,0.5839851456,3.9687915996
"107","107",0.608843786,"lightgoldenrod1",2,NA,"F","juvenile",7,0.7306125432,4.6994041428
"22","22",0.681104765,"yellow1",2,NA,"M","juvenile",8,0.817325718,5.5167298608
"60","60",0.694691545000001,"turquoise4",2,NA,"F","juvenile",13,0.833629854000001,6.3503597148
"12","12",0.791615957,"yellowgreen",2,NA,"M","juvenile",9,0.9499391484,7.3002988632
"7","7",0.90303412,"red3",2,NA,"F","juvenile",2,1.083640944,8.3839398072
"36","36",0.286860241,"steelblue1",3,NA,"F","adult",12,0.3442322892,0.3442322892
"43","43",0.323724953,"tan1",3,NA,"F","adult",5,0.3884699436,0.7327022328
"25","25",0.333174568,"lightgoldenrod1",3,NA,"F","adult",7,0.3998094816,1.1325117144
"1","1",0.336286452,"firebrick4",3,NA,"F","adult",1,0.4035437424,1.5360554568
"20","20",0.344951179,"lightsalmon",3,NA,"M","adult",4,0.4139414148,1.9499968716
"45","45",0.347778081,"lightsalmon",3,NA,"M","adult",4,0.4173336972,2.3673305688
"51","51",0.352966224,"lightsalmon",3,NA,"M","adult",4,0.4235594688,2.7908900376
"31","31",0.382994682,"indianred2",3,NA,"F","adult",3,0.4595936184,3.250483656
"34","34",0.395420923,"tan1",3,NA,"F","adult",5,0.4745051076,3.7249887636
"8","8",0.404138112,"red3",3,NA,"F","adult",2,0.4849657344,4.209954498
"26","26",0.450229239,"lightsalmon",3,NA,"F","adult",4,0.5402750868,4.7502295848
"32","32",0.453130383,"red3",3,NA,"F","adult",2,0.5437564596,5.2939860444
"33","33",0.47717657,"indianred2",3,NA,"F","adult",3,0.572611884,5.8665979284
"28","28",0.504266089,"seagreen",3,NA,"F","adult",11,0.6051193068,6.4717172352
"5","5",0.526937634,"firebrick4",3,NA,"F","adult",1,0.6323251608,7.104042396
"19","19",0.535994783,"firebrick4",3,NA,"M","adult",1,0.6431937396,7.7472361356
"4","4",0.555946009,"indianred2",3,NA,"F","adult",3,0.6671352108,8.4143713464
"11","11",0.591715889,"lightgoldenrod1",3,NA,"F","adult",7,0.7100590668,9.1244304132
"49","49",0.613003079,"firebrick4",3,NA,"M","adult",1,0.7356036948,9.860034108
"21","21",0.639879744,"firebrick4",3,NA,"M","adult",1,0.7678556928,10.6278898008
"44","44",0.645681274,"firebrick4",3,NA,"M","adult",1,0.7748175288,11.4027073296
"15","15",0.688007956,"steelblue4",3,NA,"F","adult",14,0.8256095472,12.2283168768
"13","13",0.767634059,"mediumseagreen",3,NA,"F","adult",10,0.9211608708,13.1494777476
"14","14",0.841483355,"slateblue",3,NA,"F","adult",15,1.009780026,14.1592577736
"16","16",0.849658742,"yellow1",3,NA,"F","adult",8,1.0195904904,15.178848264
"9","9",0.922420742,"mediumseagreen",3,NA,"F","adult",10,1.1069048904,16.2857531544
"30","30",0.988917452,"yellowgreen",3,NA,"F","adult",9,1.1867009424,17.4724540968
"10","10",1.000128362,"darkslateblue",3,NA,"F","adult",17,1.2001540344,18.6726081312
"3","3",1.025610721,"turquoise4",3,NA,"F","adult",13,1.2307328652,19.9033409964
"17","17",1.112068849,"slateblue4",3,NA,"F","adult",16,1.3344826188,21.2378236152
"2","2",1.159536977,"orange2",3,NA,"F","adult",6,1.3914443724,22.6292679876
