"","16","17","19","30","32","34","36","37","40","44","45","51","52","56","102","105","113"
"16",0,0.024917786,0.020293063,0.017428617,0.02739773,0.009490952,0.01465168,0.025733622,0.013718675,0.019841775,0.015323961,0.013536276,0.007813651,0.010122328,0.015158036,0.01620065,0.020069201
"17",0.024917786,0,0.021766833,0.01839887,0.027238236,0.007184294,0.015381164,0.016320071,0.012087352,0.024301392,0.012907616,0.013378959,0.008198117,0.009816344,0.016966137,0.550942242,0.020350384
"19",0.020293063,0.021766833,0,0.028691596,0.021821782,0.023459091,0.012472099,0.019850169,0.009327888,0.032449454,0.018435127,0.013456518,0.002908024,0.024454367,0.032605683,0.01514303,0.030903356
"30",0.017428617,0.01839887,0.028691596,0,0.038161859,0.024805148,0.018641182,0.026728494,0.026895758,0.0890484,0.041930831,0.026578725,0.013077689,0.02626372,0.041506342,0.011059304,0.021963692
"32",0.02739773,0.027238236,0.021821782,0.038161859,0,0.01809795,0.025915355,0.032645081,0.025382267,0.040090988,0.023502168,0.023470281,0.02879194,0.014627722,0.02333509,0.021638557,0.026413411
"34",0.009490952,0.007184294,0.023459091,0.024805148,0.01809795,0,0.011961153,0.018199362,0.014157981,0.015519045,0.025334624,0.021582497,0.016864684,0.102075922,0.231117014,0.006008182,0.013862171
"36",0.01465168,0.015381164,0.012472099,0.018641182,0.025915355,0.011961153,0,0.022372472,0.0149941,0.021336711,0.020936921,0.015936553,0.015460541,0.01145156,0.018945985,0.015538414,0.020904225
"37",0.025733622,0.016320071,0.019850169,0.026728494,0.032645081,0.018199362,0.022372472,0,0.022685747,0.014431509,0.02759296,0.021141028,0.020533912,0.017945633,0.028370163,0.009840217,0.018349814
"40",0.013718675,0.012087352,0.009327888,0.026895758,0.025382267,0.014157981,0.0149941,0.022685747,0,0.01229013,0.021864344,0.014765816,0.008261324,0.010267718,0.019977354,0.006973028,0.011714485
"44",0.019841775,0.024301392,0.032449454,0.0890484,0.040090988,0.015519045,0.021336711,0.014431509,0.01229013,0,0.030207697,0.017370587,0.006357153,0.025166371,0.030994866,0.01797069,0.01398851
"45",0.015323961,0.012907616,0.018435127,0.041930831,0.023502168,0.025334624,0.020936921,0.02759296,0.021864344,0.030207697,0,0.01890957,0.003548328,0.013607164,0.032901595,0.009226183,0.020677814
"51",0.013536276,0.013378959,0.013456518,0.026578725,0.023470281,0.021582497,0.015936553,0.021141028,0.014765816,0.017370587,0.01890957,0,0.031142947,0.023180484,0.027538027,0.008930959,0.011028492
"52",0.007813651,0.008198117,0.002908024,0.013077689,0.02879194,0.016864684,0.015460541,0.020533912,0.008261324,0.006357153,0.003548328,0.031142947,0,0.00978641,0.016212584,0.005965664,0.00661073
"56",0.010122328,0.009816344,0.024454367,0.02626372,0.014627722,0.102075922,0.01145156,0.017945633,0.010267718,0.025166371,0.013607164,0.023180484,0.00978641,0,0.157936763,0.007515116,0.011850812
"102",0.015158036,0.016966137,0.032605683,0.041506342,0.02333509,0.231117014,0.018945985,0.028370163,0.019977354,0.030994866,0.032901595,0.027538027,0.016212584,0.157936763,0,0.015747988,0.020131033
"105",0.01620065,0.550942242,0.01514303,0.011059304,0.021638557,0.006008182,0.015538414,0.009840217,0.006973028,0.01797069,0.009226183,0.008930959,0.005965664,0.007515116,0.015747988,0,0.011865009
"113",0.020069201,0.020350384,0.030903356,0.021963692,0.026413411,0.013862171,0.020904225,0.018349814,0.011714485,0.01398851,0.020677814,0.011028492,0.00661073,0.011850812,0.020131033,0.011865009,0
